Datetime,Q1in,Q2in,Q3in,Q4in,Q5in,sobradinho_reservoir,sobradinho_eto,sobradinho_spill,sobradinho_spill_limit,sobradinho_turbine,sobradinho_downElevation,north_abstraction,north_link,north_Ereservoir,north_irrigation,north_urban,north_others,east_abstraction,east_link,east_Ereservoir,east_irrigation,east_urban,east_others,itaparica_reservoir,itaparica_eto,itaparica_turbine,itaparica_spill,itaparica_downElevation,pafonso_reservoir,pafonso_eto,pafonso_turbine,pafonso_spill,pafonso_downElevation,xingo_reservoir,xingo_eto,xingo_spill,xingo_turbine,xingo_downstream_balance,sobradinho_irrigation,upnorth_irrigation,upeast_irrigation,pafonso_irrigation,xingo_irrigation,xingo_irrigation_downstream,sobradinho_urban,upnorth_urban,upeast_urban,pafonso_urban,xingo_urban,xingo_urban_downstream,sobradinho_others,upnorth_others,upeast_others,pafonso_others,xingo_others,xingo_others_downstream,xingo_dreno
1941-01-01T00:00:00,654496233.6645161,32124433.88903226,47434939.08032258,13461996.426967742,8963535.701193549,7581121785.921421,12445705.860599253,791200000.0,791200000.0,368000000.0,1159200000.0,1172230033.8890324,5315328.0,30000000.0,3162240.0,1374624.0,778464.0,1213521932.9693549,1039651.0967741936,1000000.0,611712.0,495936.0,383616.0,7234000000.000006,3282323.232243517,237900000.0,1028267700.5758209,1266167700.575821,1299999999.9999971,1089158.4905660376,309052800.00000024,966018007.4144485,1275070807.4144487,3800000000.0,271400.0,1022492983.8898358,259200000.0,1281692983.8898358,16018560.0,15465600.0,704160.0,3976128.001,398304.0,2348298.95,214272.0,1900800.0,122688.0,529632.0,57024.0,803534.23,864.0,1727999.9999998957,864.0000000745058,415584.0,1728.0,26129.18,1278515021.5298357
1941-02-01T00:00:00,584108341.9428571,28307007.360000003,41798127.067857146,11862273.846392857,7898376.417964286,5447000000.0,4839327.4088471625,271253953.74548936,271253953.74548936,368000000.0,639253953.7454894,648466561.1054894,5315328.0,30000000.0,3162240.0,1374624.0,778464.0,684121648.1733465,1491264.0,1000000.0,611712.0,495936.0,383616.0,7234000000.000002,2173560.4807856353,236908000.0,443548823.69256103,680456823.692561,1299999999.9999971,762539.999999999,309052799.99999994,377582413.5379539,686635213.5379539,3800000000.0,214800.0,433861733.9559182,260000000.0,693861733.9559182,16018560.0,15465600.0,704160.0,3976128.001,398304.0,2348298.95,214272.0,1900800.0,122688.0,529632.0,57024.0,803534.23,864.0,1727999.9999999888,864.0,415584.0,1728.0,26129.18,690683771.5959182
1941-03-01T00:00:00,548385676.9096774,26369619.468387097,38937380.10709677,11050396.228451613,7357795.824548387,5446999999.999998,3005064.3016398703,161146916.6080376,161146916.6080376,368000000.0,529146916.6080376,536422136.0764247,5315328.0,30000000.0,3162240.0,1374624.0,778464.0,569216476.1835215,1491264.0,1000000.0,611712.0,495936.0,383616.0,7234000000.000002,1614991.8656116726,236908000.0,329202220.31790984,566110220.3179098,1299999999.9999971,566579.9999999993,309052799.99999994,262619892.54536146,571672692.5453614,3800000000.0,159600.0,318413832.36990976,260000000.0,578413832.3699098,16018560.0,15465600.0,704160.0,3976128.001,398304.0,2348298.95,214272.0,1900800.0,122688.0,529632.0,57024.0,803534.23,864.0,1727999.9999999702,863.9999999776483,415584.0,1728.0,26129.18,575235870.0099097
1941-04-01T00:00:00,628533448.8266666,30716364.672,45355784.074666664,12871933.958733333,8570648.507199999,5446999999.999998,4899315.953838104,239400436.87282848,239400436.87282848,368000000.0,607400436.8728285,619022401.5448284,5315328.0,30000000.0,3162240.0,1374624.0,778464.0,658235145.619495,1491264.0,1000000.0,611712.0,495936.0,383616.0,7233999999.999998,2094632.3069023574,236908000.0,417741249.31259286,654649249.3125929,1299999999.9999971,734849.9999999991,309052799.99999994,352812189.2703262,661864989.2703261,3800000000.0,207000.0,409771581.77752614,260000000.0,669771581.7775261,16018560.0,15465600.0,704160.0,3976128.001,398304.0,2348298.95,214272.0,1900800.0,122688.0,529632.0,57024.0,803534.23,864.0,1728000.000000067,864.0000000447035,415584.0,1728.0,26129.18,666593619.4175261
1941-05-01T00:00:00,378640183.38709676,17163619.2,25343800.111612905,7192549.482741935,4789087.147741936,5446999999.999998,5678239.458019739,0.0,0.0,368000000.0,368000000.0,366069219.2,5315328.0,30000000.0,3162240.0,1374624.0,778464.0,385269979.3116129,1491264.0,1000000.0,611712.0,495936.0,383616.0,7233999999.999996,2173560.4807856334,236908000.0,144697154.8308273,381605154.8308273,1299999999.9999971,762539.999999999,309052800.0,74061020.31256926,383113820.31256926,3800000000.0,214800.0,127231051.46031117,260000000.0,387231051.4603112,4747671.929077029,15465600.0,704160.0,3976128.001,398304.0,2348298.95,214272.0,1900800.0,122688.0,529632.0,57024.0,803534.23,0.0,1728000.0000000112,863.9999999888241,415584.0,1728.0,26129.18,384053089.10031116
1941-06-01T00:00:00,251779630.51333335,10283446.656,15184537.331999999,4309359.119633334,2869343.6762333335,5446999999.999997,5260555.839835385,0.0,0.0,246519074.673498,246519074.673498,256802521.329498,0.0,30000000.0,0.0,0.0,0.0,271987058.661498,0.0,1000000.0,0.0,0.0,0.0,7233999999.999996,2015704.1330190788,236908000.0,33063354.52847892,269971354.5284789,1299999999.9999971,707159.999999999,269067793.64711225,0.0,269067793.64711225,3800000000.0,199200.0,11280881.323345602,260000000.0,271280881.3233456,0.0,0.0,0.0,3976128.001,398304.0,2348298.95,0.0,0.0,0.0,529632.0,57024.0,803534.23,0.0,1.1175870895385742e-08,-1.862645149230957e-08,0.0,1728.0,26129.18,268102918.9633456
1941-07-01T00:00:00,221312373.67741936,8631081.290322581,12744654.633870969,3616922.4303870965,2408291.6308709676,5446999999.999997,5858859.401018379,0.0,0.0,215453514.27640098,215453514.27640098,224084595.56672356,0.0,30000000.0,0.0,0.0,0.0,236829250.2005945,0.0,1000000.0,0.0,0.0,0.0,7233999999.999996,2452844.788372614,234376405.4122219,0.0,234376405.4122219,1299999999.9999971,860519.9999999988,237132807.84260902,0.0,237132807.84260902,3700000000.0,242400.0,0.0,242069177.92509288,242069177.92509288,0.0,0.0,0.0,0.0,398304.0,2348298.95,0.0,0.0,0.0,0.0,57024.0,803534.23,0.0,9.313225746154785e-09,9.313225746154785e-09,0.0,0.0,26129.18,238891215.5650929
1941-08-01T00:00:00,201964480.23548388,7581764.996129032,11195234.194258066,3177198.1926774196,2115505.644580645,5446999999.999997,6716804.130261918,0.0,0.0,195247676.10522196,195247676.10522196,202829441.101351,0.0,30000000.0,0.0,0.0,0.0,214024675.29560906,0.0,1000000.0,0.0,0.0,0.0,7233999999.999996,3151055.5573400664,210873619.738269,0.0,210873619.738269,1299999999.9999971,1105469.9999999986,212945347.9309464,0.0,212945347.9309464,3700000000.0,301020.0,-2.9802322387695312e-08,214304505.57552707,214304505.57552704,0.0,0.0,0.0,0.0,398304.0,2348298.95,0.0,0.0,0.0,0.0,57024.0,803534.23,0.0,-3.725290298461914e-09,1.862645149230957e-09,0.0,0.0,26129.18,211126543.21552706
1941-09-01T00:00:00,174961793.19,6117297.5808,9032801.607966667,2563501.6155999997,1706881.9156666666,5446999999.999997,7303818.945007497,0.0,0.0,167657974.2449925,167657974.2449925,173775271.8257925,0.0,30000000.0,0.0,0.0,0.0,182808073.43375915,0.0,1000000.0,0.0,0.0,0.0,7233999999.999996,3588196.212693602,179219877.22106555,0.0,179219877.22106555,1299999999.9999971,1258829.9999999984,180524548.83666554,0.0,180524548.83666554,3700000000.0,342780.0,0.0,181433322.7523322,181433322.7523322,0.0,0.0,0.0,0.0,398304.0,2348298.95,0.0,0.0,0.0,0.0,57024.0,803534.23,0.0,2.7939677238464355e-09,5.587935447692871e-09,0.0,0.0,26129.18,178255360.39233223
1941-10-01T00:00:00,188139030.3677419,6831953.660903226,10088062.775870968,2862983.86116129,1906289.1742580647,5446999999.999997,7010311.537634707,0.0,0.0,181128718.8301072,181128718.8301072,187960672.49101043,0.0,30000000.0,0.0,0.0,0.0,198048735.2668814,0.0,1000000.0,0.0,0.0,0.0,7233999999.999996,3891766.1122446675,194156969.15463674,0.0,194156969.15463674,1299999999.9999971,1365329.9999999981,195654623.01579803,0.0,195654623.01579803,3700000000.0,371780.0,0.0,196733804.1900561,196733804.1900561,0.0,0.0,0.0,0.0,398304.0,2348298.95,0.0,0.0,0.0,0.0,57024.0,803534.23,0.0,1.0244548320770264e-08,-1.1175870895385742e-08,0.0,0.0,26129.18,193555841.8300561
