Datetime,Q1in,Q2in,Q3in,Q4in,Q5in,sobradinho_reservoir,sobradinho_eto,sobradinho_spill,sobradinho_spill_limit,sobradinho_turbine,sobradinho_downElevation,north_abstraction,east_abstraction,itaparica_reservoir,itaparica_eto,itaparica_turbine,itaparica_spill,itaparica_downElevation,pafonso_reservoir,pafonso_eto,pafonso_turbine,pafonso_spill,pafonso_downElevation,xingo_reservoir,xingo_eto,xingo_spill,xingo_turbine,xingo_downstream_balance,sobradinho_irrigation,upnorth_irrigation,upeast_irrigation,pafonso_irrigation,xingo_irrigation,xingo_irrigation_downstream,sobradinho_urban,upnorth_urban,upeast_urban,pafonso_urban,xingo_urban,xingo_urban_downstream,sobradinho_others,upnorth_others,upeast_others,pafonso_others,xingo_others,xingo_others_downstream,xingo_dreno
1941-01-01T00:00:00,654496233.6645161,32124433.88903226,47434939.08032258,13461996.426967742,8963535.701193549,7475440424.961426,12445705.860599253,791199999.9999999,791199999.9999999,367999999.9999999,1159199999.9999998,1168220209.889032,1214653617.4493544,7233999999.99999,3282323.232243517,237900000.0,1030439036.152595,1268339036.152595,1299999999.9999971,1089158.4905660376,309052799.9999999,967155860.7512227,1276208660.7512226,3800000000.0,271400.0,1023534855.4666097,259200000.0,1282734855.4666097,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.000000134,1045.4400000554451,502856.64,2090.88,31616.3078,1278889521.0105097
1941-02-01T00:00:00,584108341.9428571,28307007.360000003,41798127.067857146,11862273.846392857,7898376.417964286,5447000000.0,4794222.5806955295,264115648.09364104,264115648.09364104,368000000.0,632115648.093641,637318431.453641,678115027.0014982,7233999999.99999,2173560.480785632,236908000.0,439033466.5207126,675941466.5207126,1299999999.9999971,762539.999999999,309052799.99999994,372033574.1261055,681086374.1261054,3800000000.0,214800.0,428216912.7840698,260000000.0,688216912.7840698,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090879.9999999888,1045.4399999809393,502856.64,2090.88,31616.3078,684371578.3279697
1941-03-01T00:00:00,548385676.9096774,26369619.468387097,38937380.10709677,11050396.228451613,7357795.824548387,5447000000.000002,3005064.3016398703,157737840.44803745,157737840.44803745,368000000.0,525737840.44803745,529003235.9164246,566939084.5035213,7233999999.99999,1614991.8656116708,236908000.0,328416092.63790965,565324092.6379097,1299999999.9999971,566579.9999999993,309052799.99999994,260800282.62536126,569853082.6253612,3800000000.0,159600.0,316498240.6899096,260000000.0,576498240.6899096,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090879.9999999702,1045.4400000181922,502856.64,2090.88,31616.3078,572652906.2338095
1941-04-01T00:00:00,628533448.8266666,30716364.672,45355784.074666664,12871933.958733333,8570648.507199999,5446999999.999998,4899315.953838106,235991360.71282852,235991360.71282852,368000000.0,603991360.7128285,611603501.3848286,655957753.9394952,7233999999.999994,2094632.306902355,236908000.0,416955121.6325928,653863121.6325928,1299999999.9999971,734849.9999999991,309052799.99999994,350992579.3503261,660045379.3503261,3800000000.0,207000.0,407855990.0975261,260000000.0,667855990.0975261,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090879.9999999478,1045.4400000256428,502856.64,2090.88,31616.3078,664010655.641426
1941-05-01T00:00:00,378640183.38709676,17163619.2,25343800.111612905,7192549.482741935,4789087.147741936,5446999999.999998,5678239.458019739,0.0,0.0,368000000.0,368000000.0,362059395.2,386401663.79161286,7233999999.999994,2173560.480785633,236908000.0,147320103.31082726,384228103.31082726,1299999999.9999971,762539.999999999,309052800.0,75650486.55256921,384703286.5525692,3800000000.0,214800.0,128724535.94031113,260000000.0,388724535.94031113,4702674.809077024,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,0.0,2090880.0000000112,1045.440000029368,502856.64,2090.88,31616.3078,384879201.48421115
1941-06-01T00:00:00,251779630.51333335,10283446.656,15184537.331999999,4309359.119633334,2869343.6762333335,5446999999.999997,5260555.839835385,0.0,0.0,246519074.673498,246519074.673498,256802521.329498,271987058.661498,7233999999.999994,2015704.1330190785,236908000.0,33063354.52847892,269971354.5284789,1299999999.9999971,707159.999999999,268121584.04711223,0.0,268121584.04711223,3800000000.0,199200.0,10238689.963345587,260000000.0,270238689.9633456,0.0,0.0,0.0,4811114.881,481947.84,2841441.73,0.0,0.0,0.0,640854.72,68999.04,972276.4183,0.0,1.1175870895385742e-08,-1.862645149230957e-08,0.0,2090.88,31616.3078,266393355.50724563
1941-07-01T00:00:00,221312373.67741936,8631081.290322581,12744654.633870969,3616922.4303870965,2408291.6308709676,5446999999.999997,5858859.401018379,0.0,0.0,215453514.27640098,215453514.27640098,224084595.56672356,236829250.2005945,7233999999.999994,2452844.7883726135,234376405.4122219,0.0,234376405.4122219,1299999999.9999971,860519.9999999988,237132807.84260902,0.0,237132807.84260902,3700000000.0,242400.0,0.0,241973559.04509288,241973559.04509288,0.0,0.0,0.0,0.0,481947.84,2841441.73,0.0,0.0,0.0,0.0,68999.04,972276.4183,0.0,9.313225746154785e-09,9.313225746154785e-09,0.0,0.0,31616.3078,238128224.5889929
1941-08-01T00:00:00,201964480.23548388,7581764.996129032,11195234.194258066,3177198.1926774196,2115505.644580645,5446999999.999997,6716804.130261918,0.0,0.0,195247676.10522196,195247676.10522196,202829441.101351,214024675.29560906,7233999999.999994,3151055.557340066,210873619.738269,0.0,210873619.738269,1299999999.9999971,1105469.9999999986,212945347.9309464,0.0,212945347.9309464,3700000000.0,301020.0,-2.9802322387695312e-08,214208886.69552708,214208886.69552705,0.0,0.0,0.0,0.0,481947.84,2841441.73,0.0,0.0,0.0,0.0,68999.04,972276.4183,0.0,-3.725290298461914e-09,1.862645149230957e-09,0.0,0.0,31616.3078,210363552.23942706
1941-09-01T00:00:00,174961793.19,6117297.5808,9032801.607966667,2563501.6155999997,1706881.9156666666,5446999999.999997,7303818.945007497,0.0,0.0,167657974.2449925,167657974.2449925,173775271.8257925,182808073.43375915,7233999999.999994,3588196.212693601,179219877.22106555,0.0,179219877.22106555,1299999999.9999971,1258829.9999999984,180524548.83666554,0.0,180524548.83666554,3700000000.0,342780.0,0.0,181337703.87233222,181337703.87233222,0.0,0.0,0.0,0.0,481947.84,2841441.73,0.0,0.0,0.0,0.0,68999.04,972276.4183,0.0,2.7939677238464355e-09,5.587935447692871e-09,0.0,0.0,31616.3078,177492369.41623223
1941-10-01T00:00:00,188139030.3677419,6831953.660903226,10088062.775870968,2862983.86116129,1906289.1742580647,5446999999.999997,7010311.537634707,0.0,0.0,181128718.8301072,181128718.8301072,187960672.49101043,198048735.2668814,7233999999.999994,3891766.1122446666,194156969.15463674,0.0,194156969.15463674,1299999999.9999971,1365329.9999999981,195654623.01579803,0.0,195654623.01579803,3700000000.0,371780.0,0.0,196638185.3100561,196638185.3100561,0.0,0.0,0.0,0.0,481947.84,2841441.73,0.0,0.0,0.0,0.0,68999.04,972276.4183,0.0,1.0244548320770264e-08,-1.1175870895385742e-08,0.0,0.0,31616.3078,192792850.8539561
