Datetime,Q1in,Q2in,Q3in,Q4in,Q5in,sobradinho_reservoir,sobradinho_eto,sobradinho_spill,sobradinho_spill_limit,sobradinho_turbine,sobradinho_downElevation,north_abstraction,north_link,north_Ereservoir,north_irrigation,north_urban,north_others,east_abstraction,east_link,east_Ereservoir,east_irrigation,east_urban,east_others,itaparica_reservoir,itaparica_eto,itaparica_turbine,itaparica_spill,itaparica_downElevation,pafonso_reservoir,pafonso_eto,pafonso_turbine,pafonso_spill,pafonso_downElevation,xingo_reservoir,xingo_eto,xingo_spill,xingo_turbine,xingo_downstream_balance,sobradinho_irrigation,upnorth_irrigation,upeast_irrigation,pafonso_irrigation,xingo_irrigation,xingo_irrigation_downstream,sobradinho_urban,upnorth_urban,upeast_urban,pafonso_urban,xingo_urban,xingo_urban_downstream,sobradinho_others,upnorth_others,upeast_others,pafonso_others,xingo_others,xingo_others_downstream,xingo_dreno
1941-01-01T00:00:00,654496233.6645161,32124433.88903226,47434939.08032258,13461996.426967742,8963535.701193549,7475440424.961418,12445705.860599253,791200000.0,791200000.0,368000000.0,1159200000.0,1168220209.8890324,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,1207348497.449355,1374019.0967741935,1000000.0,723168.0,606528.0,495935.9999999999,7234000000.000006,3282323.232243517,237900000.0,1021759897.055821,1259659897.055821,1299999999.9999971,1089158.4905660376,309052800.0,958476721.6544485,1267529521.6544485,3800000000.0,271400.0,1014855716.3698356,259200000.0,1274055716.3698356,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090879.9999998957,1045.4400000554451,502856.64,2090.88,31616.3078,1270210381.9137356
1941-02-01T00:00:00,584108341.9428571,28307007.360000003,41798127.067857146,11862273.846392857,7898376.417964286,5447000000.0,4794222.580695527,264115648.0936408,264115648.0936408,368000000.0,632115648.0936408,637318431.4536408,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,670809907.001498,1825632.0,1000000.0,723168.0,606528.0,495936.0,7234000000.000002,2173560.4807856353,236908000.0,429902714.5207125,666810714.5207125,1299999999.9999971,762539.999999999,309052799.99999994,362902822.12610537,671955622.1261053,3800000000.0,214800.0,419086160.78406966,260000000.0,679086160.7840697,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090879.9999999888,1045.4399999809393,502856.64,2090.88,31616.3078,675240826.3279696
1941-03-01T00:00:00,548385676.9096774,26369619.468387097,38937380.10709677,11050396.228451613,7357795.824548387,5447000000.0,3005064.3016398703,157737840.4480375,157737840.4480375,368000000.0,525737840.4480375,529003235.91642463,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,559633964.5035214,1825632.0,1000000.0,723168.0,606528.0,495936.0,7234000000.000002,1614991.8656116726,236908000.0,319285340.63790977,556193340.6379098,1299999999.9999971,566579.9999999993,309052799.99999994,251669530.62536138,560722330.6253613,3800000000.0,159600.0,307367488.6899097,260000000.0,567367488.6899097,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090879.9999999702,1045.4399999585876,502856.64,2090.88,31616.3078,563522154.2338096
1941-04-01T00:00:00,628533448.8266666,30716364.672,45355784.074666664,12871933.958733333,8570648.507199999,5446999999.999996,4899315.953838105,235991360.71282852,235991360.71282852,368000000.0,603991360.7128285,611603501.3848286,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,648652633.9394952,1825632.0,1000000.0,723168.0,606528.0,495936.0,7233999999.999998,2094632.3069023574,236908000.0,407824369.6325929,644732369.6325929,1299999999.9999971,734849.9999999991,309052799.99999994,341861827.35032624,650914627.3503262,3800000000.0,207000.0,398725238.0975262,260000000.0,658725238.0975262,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090879.9999999478,1045.4400000256428,502856.64,2090.88,31616.3078,654879903.6414261
1941-05-01T00:00:00,378640183.38709676,17163619.2,25343800.111612905,7192549.482741935,4789087.147741936,5446999999.999996,5678239.458019737,0.0,0.0,368000000.0,368000000.0,362059395.2,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,379096543.79161286,1825632.0,1000000.0,723168.0,606528.0,495936.0,7233999999.999998,2173560.4807856334,236908000.0,138189351.31082726,375097351.31082726,1299999999.9999971,762539.999999999,309052800.0,66519734.55256921,375572534.5525692,3800000000.0,214800.0,119593783.94031113,260000000.0,379593783.94031113,4702674.809077024,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,0.0,2090880.0000000112,1045.440000029368,502856.64,2090.88,31616.3078,375748449.48421115
1941-06-01T00:00:00,251779630.51333335,10283446.656,15184537.331999999,4309359.119633334,2869343.6762333335,5446999999.999995,5260555.839835384,0.0,0.0,246519074.673498,246519074.673498,256802521.329498,0.0,30000000.0,0.0,0.0,0.0,271987058.661498,0.0,1000000.0,0.0,0.0,0.0,7233999999.999998,2015704.1330190792,236908000.0,33063354.52847892,269971354.5284789,1299999999.9999971,707159.999999999,268121584.04711223,0.0,268121584.04711223,3800000000.0,199200.0,10238689.963345587,260000000.0,270238689.9633456,0.0,0.0,0.0,4811114.881,481947.84,2841441.73,0.0,0.0,0.0,640854.72,68999.04,972276.4183,0.0,1.1175870895385742e-08,-1.862645149230957e-08,0.0,2090.88,31616.3078,266393355.50724563
1941-07-01T00:00:00,221312373.67741936,8631081.290322581,12744654.633870969,3616922.4303870965,2408291.6308709676,5446999999.999995,5858859.401018377,0.0,0.0,215453514.27640098,215453514.27640098,224084595.56672356,0.0,30000000.0,0.0,0.0,0.0,236829250.2005945,0.0,1000000.0,0.0,0.0,0.0,7233999999.999998,2452844.7883726144,234376405.4122219,0.0,234376405.4122219,1299999999.9999971,860519.9999999988,237132807.84260902,0.0,237132807.84260902,3700000000.0,242400.0,0.0,241973559.04509288,241973559.04509288,0.0,0.0,0.0,0.0,481947.84,2841441.73,0.0,0.0,0.0,0.0,68999.04,972276.4183,0.0,9.313225746154785e-09,9.313225746154785e-09,0.0,0.0,31616.3078,238128224.5889929
1941-08-01T00:00:00,201964480.23548388,7581764.996129032,11195234.194258066,3177198.1926774196,2115505.644580645,5446999999.999995,6716804.130261917,0.0,0.0,195247676.10522196,195247676.10522196,202829441.101351,0.0,30000000.0,0.0,0.0,0.0,214024675.29560906,0.0,1000000.0,0.0,0.0,0.0,7233999999.999998,3151055.557340067,210873619.738269,0.0,210873619.738269,1299999999.9999971,1105469.9999999986,212945347.9309464,0.0,212945347.9309464,3700000000.0,301020.0,-2.9802322387695312e-08,214208886.69552708,214208886.69552705,0.0,0.0,0.0,0.0,481947.84,2841441.73,0.0,0.0,0.0,0.0,68999.04,972276.4183,0.0,-3.725290298461914e-09,1.862645149230957e-09,0.0,0.0,31616.3078,210363552.23942706
1941-09-01T00:00:00,174961793.19,6117297.5808,9032801.607966667,2563501.6155999997,1706881.9156666666,5446999999.999995,7303818.945007495,0.0,0.0,167657974.2449925,167657974.2449925,173775271.8257925,0.0,30000000.0,0.0,0.0,0.0,182808073.43375915,0.0,1000000.0,0.0,0.0,0.0,7233999999.999998,3588196.2126936023,179219877.22106555,0.0,179219877.22106555,1299999999.9999971,1258829.9999999984,180524548.83666554,0.0,180524548.83666554,3700000000.0,342780.0,0.0,181337703.87233222,181337703.87233222,0.0,0.0,0.0,0.0,481947.84,2841441.73,0.0,0.0,0.0,0.0,68999.04,972276.4183,0.0,2.7939677238464355e-09,5.587935447692871e-09,0.0,0.0,31616.3078,177492369.41623223
1941-10-01T00:00:00,188139030.3677419,6831953.660903226,10088062.775870968,2862983.86116129,1906289.1742580647,5446999999.999995,7010311.537634706,0.0,0.0,181128718.8301072,181128718.8301072,187960672.49101043,0.0,30000000.0,0.0,0.0,0.0,198048735.2668814,0.0,1000000.0,0.0,0.0,0.0,7233999999.999998,3891766.1122446684,194156969.15463674,0.0,194156969.15463674,1299999999.9999971,1365329.9999999981,195654623.01579803,0.0,195654623.01579803,3700000000.0,371780.0,0.0,196638185.3100561,196638185.3100561,0.0,0.0,0.0,0.0,481947.84,2841441.73,0.0,0.0,0.0,0.0,68999.04,972276.4183,0.0,1.0244548320770264e-08,-1.1175870895385742e-08,0.0,0.0,31616.3078,192792850.8539561
1941-11-01T00:00:00,252224692.77666667,10307584.224000001,15220178.865666667,4319474.157266666,2876078.6728666667,5446999999.999996,4221991.167593204,0.0,0.0,248002701.60907343,248002701.60907343,258310285.83307344,0.0,30000000.0,0.0,0.0,0.0,273530464.6987401,0.0,1000000.0,0.0,0.0,0.0,7233999999.999998,3151055.557340067,236908000.0,33471409.14140004,270379409.14140004,1299999999.9999971,1105469.9999999986,268141443.6976667,0.0,268141443.6976667,3700000000.0,301020.0,10963464.610533357,259200000.0,270163464.61053336,0.0,0.0,0.0,4811114.881,481947.84,2841441.73,0.0,0.0,0.0,640854.72,68999.04,972276.4183,0.0,-5.587935447692871e-09,-2.0489096641540527e-08,0.0,2090.88,31616.3078,266318130.1544334
1941-12-01T00:00:00,329274032.0516129,14486288.609032258,21390453.759354837,6070593.062322581,4042043.684741935,5446999999.999996,3634976.3528476255,0.0,0.0,325639055.6987653,325639055.6987653,317021120.30779755,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,330104922.5471524,1825632.0,1000000.0,723168.0,606528.0,495936.0,7233999999.999998,3029627.5975196403,236908000.0,88341662.94963276,325249662.94963276,1299999999.9999971,1062869.9999999986,309052800.0,15249759.770955324,324302559.7709553,3700000000.0,289420.0,68302145.69569725,259200000.0,327502145.69569725,0.0,18713376.0,852033.6,4811114.881,481947.84,2841441.73,0.0,2299968.0,148452.48,640854.72,68999.04,972276.4183,0.0,2090879.999999985,1045.43999998839,502856.64,2090.88,31616.3078,323656811.23959726
1942-01-01T00:00:00,608257400.1290323,29616710.678709675,43732034.98870968,12411115.313709678,8263817.01983871,5446999999.999992,4380033.617717015,216234594.35131526,216234594.35131526,368000000.0,584234594.3513153,590747081.030025,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,626172464.4987347,1825632.0,1000000.0,723168.0,606528.0,495936.0,7234000000.000002,2792843.075869809,236908000.0,384645989.4228648,621553989.4228648,1299999999.9999971,979799.9999999986,309052800.0,317977678.4955745,627030478.4955745,3700000000.0,266800.0,375274457.7554132,259200000.0,634474457.7554132,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090879.9999999292,1045.4399999734887,502856.64,2090.88,31616.3078,630629123.2993131
1942-02-01T00:00:00,583726636.9607142,28286305.919999998,41767559.32,11853598.746214285,7892600.188571429,5446999999.999989,3928483.760220413,192155381.04049385,192155381.04049385,368000000.0,560155381.0404938,565337462.9604938,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,598798370.7604938,1825632.0,1000000.0,723168.0,606528.0,495936.0,7233999999.999998,2173560.4807856344,236908000.0,357891178.27970827,594799178.2797083,1299999999.9999971,762539.999999999,309052799.99999994,290882610.78492254,599935410.7849225,3700000000.0,207640.0,347867333.21349394,259200000.0,607067333.213494,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.000000041,1045.4400000479945,502856.64,2090.88,31616.3078,603221998.7573938
1942-03-01T00:00:00,687909341.0,33936564.91354839,50110731.75064516,14221384.171935484,9469166.436516128,5446999999.999989,3005064.3016398665,297261504.5383601,297261504.5383601,368000000.0,665261504.5383601,676093845.4519086,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,717897925.6825538,1825632.0,1000000.0,723168.0,606528.0,495936.0,7234000000.000002,1614991.8656116722,236908000.0,477549301.816942,714457301.816942,1299999999.9999971,566579.9999999993,309052799.9999999,413104479.7478775,722157279.7478774,3700000000.0,154280.0,471719128.42439353,259200000.0,730919128.4243935,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090879.999999918,1045.4399999809393,502856.64,2090.88,31616.3078,727073793.9682934
1942-04-01T00:00:00,454950278.73333335,21302231.328,31454874.779666666,8926867.412433334,5943865.398133334,5446999999.999987,4899315.9538381,62408190.61949527,62408190.61949527,368000000.0,430408190.6194953,428606197.9474953,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,451754421.20716196,1825632.0,1000000.0,723168.0,606528.0,495936.0,7234000000.0,2094632.3069023574,236908000.0,210926156.90025967,447834156.9002597,1299999999.9999971,734849.9999999991,309052800.0,141018548.071693,450071348.071693,3700000000.0,200100.0,196062075.70982635,259200000.0,455262075.70982635,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090879.9999999925,1045.4399999846646,502856.64,2090.88,31616.3078,451416741.25372636
1942-05-01T00:00:00,325279259.93225807,14269635.592258064,21070543.91548387,5979802.913451613,3981591.9719354836,5446999999.999989,5678239.458019732,0.0,0.0,319601020.4742383,319601020.4742383,310766432.0664963,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,323530324.46198016,1825632.0,1000000.0,723168.0,606528.0,495936.0,7233999999.999998,2173560.480785634,236908000.0,82623131.98119462,319531131.9811946,1299999999.9999971,762539.999999999,309052800.0,9740768.65364623,318793568.65364623,3700000000.0,207640.0,62814482.86558175,259200000.0,322014482.86558175,0.0,18713376.0,852033.6,4811114.881,481947.84,2841441.73,0.0,2299968.0,148452.48,640854.72,68999.04,972276.4183,0.0,2090880.0000000298,1045.4400000181922,502856.64,2090.88,31616.3078,318169148.40948176
1942-06-01T00:00:00,237276429.04333335,9496878.048,14023090.126333334,3979741.3642,2649870.9900333337,5446999999.999989,5260555.839835378,0.0,0.0,232015873.20349798,232015873.20349798,241512751.25149798,0.0,30000000.0,0.0,0.0,0.0,255535841.3778313,0.0,1000000.0,0.0,0.0,0.0,7233999999.999998,2015704.1330190792,236908000.0,16612137.24481222,253520137.24481222,1299999999.9999971,707159.999999999,256792718.60901222,0.0,256792718.60901222,3700000000.0,192560.0,0.0,258699082.71904555,258699082.71904555,0.0,0.0,0.0,0.0,481947.84,2841441.73,0.0,0.0,0.0,0.0,68999.04,972276.4183,0.0,-7.450580596923828e-09,7.450580596923828e-09,0.0,0.0,31616.3078,254853748.26294556
