Datetime,Q1in,Q2in,Q3in,Q4in,Q5in,sobradinho_reservoir,sobradinho_eto,sobradinho_spill,sobradinho_spill_limit,sobradinho_turbine,sobradinho_downElevation,north_abstraction,east_abstraction,itaparica_reservoir,itaparica_eto,itaparica_turbine,itaparica_spill,itaparica_downElevation,pafonso_reservoir,pafonso_eto,pafonso_turbine,pafonso_spill,pafonso_downElevation,xingo_reservoir,xingo_eto,xingo_spill,xingo_turbine,xingo_downstream_balance,sobradinho_irrigation,upnorth_irrigation,upeast_irrigation,pafonso_irrigation,xingo_irrigation,xingo_irrigation_downstream,sobradinho_urban,upnorth_urban,upeast_urban,pafonso_urban,xingo_urban,xingo_urban_downstream,sobradinho_others,upnorth_others,upeast_others,pafonso_others,xingo_others,xingo_others_downstream,xingo_dreno
1941-01-01T00:00:00,654496233.664516,32124433.88903226,47434939.08032258,13461996.426967742,8963535.701193549,34116000000.0,15558376.121943563,189142853.9503144,189142853.9503144,369000000.0,558142853.9503145,567163063.8393468,613596471.3996693,10782000000.0,3282323.232243517,237900000.00000003,314930277.1996838,552830277.1996838,1353000000.0000033,1089158.4905660376,309052800.0,249937424.37895644,558990224.3789564,3800000000.0,271400.0,306316419.09434354,259200000.0,565516419.0943435,16018560.0,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,561671084.6382436
1941-02-01T00:00:00,584108341.942857,28307007.360000003,41798127.067857146,11862273.846392857,7898376.417964286,34116000000.000008,14664720.0,184164747.38285697,184164747.38285697,368999999.99999994,553164747.382857,558367530.7428571,599164126.290714,10782000000.0,2910117.56,237899999.9999999,358354008.73071414,596254008.7307141,1353000000.0000033,862780.000000003,362879999.9999999,238418676.33610702,601298676.3361069,3800000000.0,214800.0,348429214.9940712,260000000.0,608429214.9940712,16018560.0,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,604583880.5379711
1941-03-01T00:00:00,548385676.9096774,26369619.468387097,38937380.10709677,11050396.228451613,7357795.824548387,34116000000.000008,11217668.0,151889134.34967732,151889134.34967732,369000000.0,520889134.3496774,524154529.8180645,562090378.4051611,10782000000.0,2162266.12,237900000.0,322028112.2851612,559928112.2851613,1353000000.0000033,641060.0000000023,362880000.0,201502622.2726128,564382622.2726128,3800000000.0,159600.0,311027780.3371612,260000000.0,571027780.3371612,16018560.0,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,567182445.8810612
1941-04-01T00:00:00,628533448.8266665,30716364.672,45355784.074666664,12871933.958733333,8570648.507199999,34116000000.00001,18288760.0,224965814.26666647,224965814.26666647,369000000.0,593965814.2666665,601577954.9386666,645932207.4933331,10781999999.999996,2804442.9,237900000.00000015,405227764.59333307,643127764.5933332,1353000000.0000033,831450.000000003,362880000.0,286333422.3110665,649213422.3110665,3800000000.0,207000.0,397024033.0582665,260000000.0,657024033.0582665,16018560.0,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,653178698.6021665
1941-05-01T00:00:00,378640183.38709676,17163619.2,25343800.111612905,7192549.482741935,4789087.147741936,33253111553.640007,21196420.0,-3.2887328416109085e-09,-3.2887328416109085e-09,369000000.0000001,369000000.0000002,363059395.20000017,387401663.79161304,10782000000.0,2910117.559999999,237900000.00000006,146591546.23161286,384491546.2316129,1353000000.0000014,862780.000000003,362880000.00000006,21986489.473354805,384866489.4733549,3799999999.999998,214800.0,128887738.86109684,260000000.0,388887738.86109686,16018560.0,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,385042404.4049968
1941-06-01T00:00:00,251779630.51333335,10283446.656,15184537.331999999,4309359.119633334,2869343.6762333335,28671328065.656395,19226872.219453815,-1.0739313438534737e-08,-1.0739313438534737e-08,369000000.0,369000000.0,356179222.656,370362228.46799994,10781999999.999998,2698768.24,237900000.00000006,129763460.22799993,367663460.228,1353000000.0000014,800120.0000000012,362880000.0,2337873.106633285,365217873.1066333,3799999999.999998,199199.99999999988,108134979.0228666,259200000.0,367334979.0228666,16018560.0,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,363489644.5667666
1941-07-01T00:00:00,221312373.67741936,8631081.290322581,12744654.633870969,3616922.4303870965,2408291.6308709676,23030775241.36706,18986816.029978465,1.9063008949160576e-08,1.9063008949160576e-08,368000000.0,368000000.0,353526857.2903226,365269980.4041936,10651626192.720995,3284043.28,237900000.00000006,128291543.81061298,366191543.81061304,1353000000.0000014,973640.0000000014,362880000.0000001,9.560608305037022e-09,362880000.0000001,3799999999.999998,242399.99999999985,105292853.87087105,259200000.0,364492853.87087107,16018560.0,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,360647519.4147711
1941-08-01T00:00:00,201964480.23548388,7581764.996129032,11195234.194258066,3177198.1926774196,2115505.644580645,16806801506.021603,18458951.97695028,1.9063008949160576e-08,1.9063008949160576e-08,368000000.0,368000000.0,352477540.99612904,362671243.67038715,10390600306.79328,4183015.4907004833,237900000.00000003,129008418.04832259,366908418.0483226,1353000000.0000014,1250790.0000000019,362880000.0,9.560608305037022e-09,362880000.0,3799999999.999998,311399.9999999998,104931067.88458067,259200000.0,364131067.8845807,16018560.0,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,360285733.4284806
1941-09-01T00:00:00,174961793.19,6117297.5808,9032801.607966667,2563501.6155999997,1706881.9156666666,10049093082.555056,15939866.078884937,-1.0739313438534737e-08,-1.0739313438534737e-08,368000000.0,368000000.0,351013073.5808,359044343.6687666,9990613509.140251,4681602.298467613,237900000.0,129795634.62539999,367695634.6254,1353000000.0000014,1424310.000000002,362880000.0,-5.340552888810635e-09,362880000.0,3799999999.999998,354599.99999999977,104479244.15566663,259200000.0,363679244.1556666,16018560.0,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,359833909.6995666
1941-10-01T00:00:00,188139030.3677419,6831953.660903226,10088062.775870968,2862983.86116129,1906289.1742580647,5447000000.000003,10515346.78587915,1.9063008949160576e-08,1.9063008949160576e-08,310058693.70815474,310058693.70815474,293786423.36905795,302872954.62492895,7833461076.681518,4941864.582468748,237900000.0,129616652.3798387,367516652.3798387,1353000000.0000014,1544810.0000000023,362880000.0,9.560608305037022e-09,362880000.0,3800000000.0,384599.99999999977,104648651.41425803,259200000.0,363848651.414258,16018560.0,18713376.0,852033.6,4811114.881,481947.84,2841441.73,0.0,2299968.0,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,360003316.958158
