Datetime,Q1in,Q2in,Q3in,Q4in,Q5in,sobradinho_reservoir,sobradinho_eto,sobradinho_spill,sobradinho_spill_limit,sobradinho_turbine,sobradinho_downElevation,north_abstraction,east_abstraction,itaparica_reservoir,itaparica_eto,itaparica_turbine,itaparica_spill,itaparica_downElevation,pafonso_reservoir,pafonso_eto,pafonso_turbine,pafonso_spill,pafonso_downElevation,xingo_reservoir,xingo_eto,xingo_spill,xingo_turbine,xingo_downstream_balance,sobradinho_irrigation,upnorth_irrigation,upeast_irrigation,pafonso_irrigation,xingo_irrigation,xingo_irrigation_downstream,sobradinho_urban,upnorth_urban,upeast_urban,pafonso_urban,xingo_urban,xingo_urban_downstream,sobradinho_others,upnorth_others,upeast_others,pafonso_others,xingo_others,xingo_others_downstream,xingo_dreno
1941-01-01T00:00:00,654496233.6645161,32124433.88903226,47434939.08032258,13461996.426967742,8963535.701193549,7530797328.321421,12445705.860599253,791200000.0,791200000.0,368000000.0,1159200000.0,1170320593.8890324,1216845049.7693548,7233999999.999998,3282323.232243517,237900000.0,1032630468.4725952,1270530468.4725952,1299999999.9999971,1089158.4905660376,309052799.9999999,969888640.9112228,1278941440.9112227,3800000000.0,271400.0,1026317911.7866096,259200000.0,1285517911.7866096,17620416.0,17012160.0,774576.0,4373740.801,438134.4,2583128.845,235699.2,2090880.0,134956.8,582595.2,62726.4,883887.653,950.4,1900799.9999998957,950.4000001222012,457142.4,1900.8,28742.098,1282022153.1906095
1941-02-01T00:00:00,584108341.9428571,28307007.360000003,41798127.067857146,11862273.846392857,7898376.417964286,5447000000.0,4817848.919251146,267854760.5779425,267854760.5779425,368000000.0,635854760.5779425,643157927.9379425,684045571.8057996,7233999999.999998,2173560.4807856334,236908000.0,444964011.325014,681872011.325014,1299999999.9999971,762539.999999999,309052799.99999994,378505466.7704069,687558266.7704068,3800000000.0,214800.0,434739081.5883713,260000000.0,694739081.5883713,17620416.0,17012160.0,774576.0,4373740.801,438134.4,2583128.845,235699.2,2090880.0,134956.8,582595.2,62726.4,883887.653,950.4,1900799.9999999888,950.4000000476954,457142.4,1900.8,28742.098,691243322.9923712
1941-03-01T00:00:00,548385676.9096774,26369619.468387097,38937380.10709677,11050396.228451613,7357795.824548387,5447000000.000004,3005064.3016398703,159523547.00803745,159523547.00803745,368000000.0,527523547.00803745,532889326.4764246,570916223.3835213,7233999999.999998,1614991.8656116722,236908000.0,332393231.51790965,569301231.5179096,1299999999.9999971,566579.9999999993,309052799.99999994,265318769.3453613,574371569.3453612,3800000000.0,159600.0,321067003.5699097,260000000.0,581067003.5699097,17620416.0,17012160.0,774576.0,4373740.801,438134.4,2583128.845,235699.2,2090880.0,134956.8,582595.2,62726.4,883887.653,950.4,1900799.9999999702,950.4000000253436,457142.4,1900.8,28742.098,577571244.9739096
1941-04-01T00:00:00,628533448.8266666,30716364.672,45355784.074666664,12871933.958733333,8570648.507199999,5447000000.0,4899315.953838107,237777067.27282858,237777067.27282858,368000000.0,605777067.2728286,615489591.9448285,659934892.8194952,7233999999.999998,2094632.3069023567,236908000.0,420932260.5125929,657840260.5125929,1299999999.9999971,734849.9999999991,309052799.99999994,355511066.07032627,664563866.0703262,3800000000.0,207000.0,412424752.9775263,260000000.0,672424752.9775263,17620416.0,17012160.0,774576.0,4373740.801,438134.4,2583128.845,235699.2,2090880.0,134956.8,582595.2,62726.4,883887.653,950.4,1900800.000000067,950.3999999731896,457142.4,1900.8,28742.098,668928994.3815262
1941-05-01T00:00:00,378640183.38709676,17163619.2,25343800.111612905,7192549.482741935,4789087.147741936,5447000000.0,5678239.45801974,0.0,0.0,368000000.0,368000000.0,364159779.2,388593096.1116129,7233999999.999998,2173560.4807856334,236908000.0,149511535.63082725,386419535.63082725,1299999999.9999971,762539.999999999,309052800.0,78383266.71256924,387436066.71256924,3800000000.0,214800.0,131507592.26031119,260000000.0,391507592.2603112,4726244.729077041,17012160.0,774576.0,4373740.801,438134.4,2583128.845,235699.2,2090880.0,134956.8,582595.2,62726.4,883887.653,0.0,1900800.0000000112,950.3999999769148,457142.4,1900.8,28742.098,388011833.6643112
1941-06-01T00:00:00,251779630.51333335,10283446.656,15184537.331999999,4309359.119633334,2869343.6762333335,5447000000.0,5260555.839835386,0.0,0.0,246519074.673498,246519074.673498,256802521.329498,271987058.661498,7233999999.999998,2015704.1330190792,236908000.0,33063354.52847892,269971354.5284789,1299999999.9999971,707159.999999999,268617217.64711225,0.0,268617217.64711225,3800000000.0,199200.0,10784599.723345637,260000000.0,270784599.72334564,0.0,0.0,0.0,4373740.801,438134.4,2583128.845,0.0,0.0,0.0,582595.2,62726.4,883887.653,0.0,1.1175870895385742e-08,-1.862645149230957e-08,0.0,1900.8,28742.098,267288841.12734565
1941-07-01T00:00:00,221312373.67741936,8631081.290322581,12744654.633870969,3616922.4303870965,2408291.6308709676,5447000000.0,5858859.40101838,0.0,0.0,215453514.27640098,215453514.27640098,224084595.56672356,236829250.2005945,7233999999.999998,2452844.7883726144,234376405.4122219,0.0,234376405.4122219,1299999999.9999971,860519.9999999988,237132807.84260902,0.0,237132807.84260902,3700000000.0,242400.0,0.0,242023645.12509286,242023645.12509286,0.0,0.0,0.0,0.0,438134.4,2583128.845,0.0,0.0,0.0,0.0,62726.4,883887.653,0.0,9.313225746154785e-09,9.313225746154785e-09,0.0,0.0,28742.098,238527886.52909288
1941-08-01T00:00:00,201964480.23548388,7581764.996129032,11195234.194258066,3177198.1926774196,2115505.644580645,5447000000.0,6716804.130261919,0.0,0.0,195247676.10522196,195247676.10522196,202829441.101351,214024675.29560906,7233999999.999998,3151055.557340067,210873619.738269,0.0,210873619.738269,1299999999.9999971,1105469.9999999986,212945347.9309464,0.0,212945347.9309464,3700000000.0,301020.0,-2.9802322387695312e-08,214258972.77552706,214258972.77552703,0.0,0.0,0.0,0.0,438134.4,2583128.845,0.0,0.0,0.0,0.0,62726.4,883887.653,0.0,-3.725290298461914e-09,1.862645149230957e-09,0.0,0.0,28742.098,210763214.17952704
1941-09-01T00:00:00,174961793.19,6117297.5808,9032801.607966667,2563501.6155999997,1706881.9156666666,5447000000.0,7303818.945007498,0.0,0.0,167657974.2449925,167657974.2449925,173775271.8257925,182808073.43375915,7233999999.999998,3588196.2126936023,179219877.22106555,0.0,179219877.22106555,1299999999.9999971,1258829.9999999984,180524548.83666554,0.0,180524548.83666554,3700000000.0,342780.0,-2.9802322387695312e-08,181387789.95233223,181387789.9523322,0.0,0.0,0.0,0.0,438134.4,2583128.845,0.0,0.0,0.0,0.0,62726.4,883887.653,0.0,2.7939677238464355e-09,5.587935447692871e-09,0.0,0.0,28742.098,177892031.3563322
1941-10-01T00:00:00,188139030.3677419,6831953.660903226,10088062.775870968,2862983.86116129,1906289.1742580647,5447000000.0,7010311.537634709,0.0,0.0,181128718.8301072,181128718.8301072,187960672.49101043,198048735.2668814,7233999999.999998,3891766.1122446684,194156969.15463674,0.0,194156969.15463674,1299999999.9999971,1365329.9999999981,195654623.01579803,0.0,195654623.01579803,3700000000.0,371780.0,-2.9802322387695312e-08,196688271.3900561,196688271.39005607,0.0,0.0,0.0,0.0,438134.4,2583128.845,0.0,0.0,0.0,0.0,62726.4,883887.653,0.0,1.0244548320770264e-08,-1.1175870895385742e-08,0.0,0.0,28742.098,193192512.7940561
